Customer_ID,Product_Holding_B2
CC372708,"['P17', 'P21', 'P8']"
CC216072,"['P17', 'P21', 'P8']"
CC387629,"['P13', 'P16', 'P11']"
CC389228,"['P20', 'P8', 'P12']"
CC394445,"['P6', 'P8', 'P00']"
CC241088,"['P17', 'P12', 'P8']"
CC381551,"['P19', 'P8', 'P16']"
CC238627,"['P17', 'P8', 'P12']"
CC287515,"['P17', 'P12', 'P8']"
CC312519,"['P6', 'P8', 'P21']"
CC206309,"['P20', 'P10', 'P8']"
CC385018,"['P19', 'P8', 'P16']"
CC254839,"['P10', 'P8', 'P21']"
CC265803,"['P20', 'P13', 'P16']"
CC278716,"['P6', 'P12', 'P8']"
CC371239,"['P10', 'P12', 'P8']"
CC210254,"['P10', 'P8', 'P21']"
CC230541,"['P6', 'P10', 'P21']"
CC226104,"['P17', 'P8', 'P12']"
CC392393,"['P12', 'P8', 'P00']"
CC395288,"['P6', 'P8', 'P00']"
CC393724,"['P12', 'P8', 'P00']"
CC353315,"['P8', 'P12', 'P16']"
CC309731,"['P17', 'P12', 'P8']"
CC244009,"['P17', 'P12', 'P8']"
CC214433,"['P10', 'P17', 'P12']"
CC380412,"['P6', 'P12', 'P8']"
CC210914,"['P17', 'P8', 'P12']"
CC257950,"['P17', 'P21', 'P8']"
CC392743,"['P12', 'P8', 'P00']"
CC345511,"['P19', 'P16', 'P13']"
CC289800,"['P17', 'P12', 'P8']"
CC326982,"['P19', 'P16', 'P13']"
CC384731,"['P19', 'P8', 'P16']"
CC376537,"['P12', 'P8', 'P00']"
CC383613,"['P19', 'P8', 'P16']"
CC379375,"['P17', 'P12', 'P8']"
CC368917,"['P10', 'P12', 'P8']"
CC377970,"['P20', 'P12', 'P8']"
CC204299,"['P6', 'P12', 'P8']"
CC200513,"['P4', 'P8', 'P10']"
CC301142,"['P17', 'P8', 'P12']"
CC389898,"['P8', 'P12', 'P16']"
CC395618,"['P17', 'P8', 'P00']"
CC250364,"['P12', 'P8', 'P00']"
CC396705,"['P17', 'P8', 'P12']"
CC317999,"['P13', 'P8', 'P16']"
CC395640,"['P17', 'P12', 'P8']"
CC360239,"['P8', 'P16', 'P12']"
CC363236,"['P17', 'P12', 'P8']"
CC379796,"['P17', 'P8', 'P12']"
CC203813,"['P16', 'P13', 'P8']"
CC385724,"['P12', 'P16', 'P8']"
CC387358,"['P19', 'P8', 'P16']"
CC298823,"['P17', 'P12', 'P8']"
CC345565,"['P8', 'P13', 'P16']"
CC376031,"['P20', 'P8', 'P12']"
CC371961,"['P17', 'P8', 'P12']"
CC347273,"['P13', 'P16', 'P8']"
CC373299,"['P16', 'P13', 'P8']"
CC241630,"['P17', 'P12', 'P8']"
CC200309,"['P10', 'P12', 'P8']"
CC390361,"['P11', 'P8', 'P16']"
CC379053,"['P20', 'P12', 'P8']"
CC373986,"['P10', 'P8', 'P21']"
CC380199,"['P20', 'P12', 'P8']"
CC382326,"['P13', 'P16', 'P11']"
CC328774,"['P19', 'P8', 'P16']"
CC246144,"['P12', 'P8', 'P00']"
CC304518,"['P17', 'P12', 'P8']"
CC387612,"['P13', 'P8', 'P16']"
CC350171,"['P16', 'P8', 'P00']"
CC392554,"['P12', 'P8', 'P00']"
CC366855,"['P8', 'P12', 'P13']"
CC377681,"['P10', 'P8', 'P12']"
CC337329,"['P16', 'P8', 'P00']"
CC295699,"['P17', 'P12', 'P8']"
CC343700,"['P19', 'P16', 'P13']"
CC324234,"['P8', 'P12', 'P16']"
CC367689,"['P6', 'P12', 'P8']"
CC213194,"['P17', 'P12', 'P8']"
CC396755,"['P12', 'P8', 'P00']"
CC382475,"['P8', 'P11', 'P13']"
CC325816,"['P13', 'P16', 'P8']"
CC307954,"['P16', 'P1', 'P8']"
CC226050,"['P12', 'P8', 'P00']"
CC251857,"['P10', 'P12', 'P6']"
CC388716,"['P17', 'P12', 'P8']"
CC259119,"['P13', 'P16', 'P8']"
CC219736,"['P6', 'P17', 'P12']"
CC368015,"['P10', 'P12', 'P8']"
CC395463,"['P16', 'P1', 'P8']"
CC395130,"['P17', 'P12', 'P8']"
CC220297,"['P16', 'P1', 'P8']"
CC355079,"['P19', 'P13', 'P16']"
CC374814,"['P10', 'P8', 'P12']"
CC384358,"['P19', 'P8', 'P16']"
CC241644,"['P16', 'P13', 'P8']"
CC381757,"['P8', 'P12', 'P13']"
CC315789,"['P16', 'P1', 'P8']"
CC315090,"['P16', 'P13', 'P8']"
CC304358,"['P17', 'P8', 'P12']"
CC255951,"['P17', 'P12', 'P8']"
CC199423,"['P16', 'P1', 'P8']"
CC382980,"['P19', 'P8', 'P16']"
CC250039,"['P13', 'P16', 'P8']"
CC374201,"['P10', 'P8', 'P21']"
CC229806,"['P12', 'P8', 'P00']"
CC381212,"['P13', 'P8', 'P16']"
CC211689,"['P16', 'P1', 'P8']"
CC372707,"['P12', 'P8', 'P00']"
CC269686,"['P12', 'P8', 'P00']"
CC309783,"['P17', 'P8', 'P12']"
CC395099,"['P12', 'P8', 'P00']"
CC336750,"['P8', 'P11', 'P16']"
CC283854,"['P10', 'P12', 'P6']"
CC337555,"['P13', 'P8', 'P16']"
CC209617,"['P17', 'P21', 'P12']"
CC304957,"['P17', 'P8', 'P12']"
CC370699,"['P17', 'P12', 'P8']"
